,pl_bmasse,hostname,st_teff,sy_snum,st_metratio,st_spectype,st_mass,st_logg,sy_pnum
31672,381.396,TOI-837,6047.0,1,[Fe/H[,G0/F9 V,1.12,4.47,1
31675,39.09,TOI-849,5373.8,1,[Fe/H],G,0.93,4.48,1
31677,301.9385,TOI-892,6261.0,1,[Fe/H],F,1.28,4.26,1
31720,104.88337,TYC 2187-512-1,3734.0,1,[Fe/H],M1.0 V,0.5,4.68,1
31840,158.91,WASP-101,6400.0,1,[Fe/H],F6,1.34,4.34,1
31842,473.547,WASP-103,6110.0,1,[Fe/H],F8 V,1.22,4.22,1
31850,572.094,WASP-105,5070.0,1,[Fe/H],K2,0.89,4.2,1
31853,611.797,WASP-106,6055.0,1,[Fe/H],F9,1.19,4.23,1
31858,38.1396,WASP-107,4430.0,1,[Fe/H],K6,0.69,4.5,2
31873,150.96925,WASP-113,5890.0,1,[Fe/H],G1,1.32,4.2,1
31880,87.5585,WASP-117,6038.0,1,[Fe/H],F9,1.13,4.28,1
31883,163.36462,WASP-118,6410.0,1,[Fe/H],F6,1.32,4.1,1
31887,390.9309,WASP-119,5650.0,1,[Fe/H],G5,1.02,4.26,1
31903,1541.4755,WASP-120,6450.0,1,[Fe/H],F5,1.39,4.04,1
31909,375.99289,WASP-121,6459.0,1,[Fe/H],F6 V,1.35,4.24,1
31914,190.698,WASP-124,6050.0,1,[Fe/H],F9,1.07,4.44,1
31920,88.9924,WASP-126,5800.0,1,[Fe/H],G2,1.12,4.28,2
31933,390.9309,WASP-130,5625.0,1,[Fe/H],G6,1.04,4.49,1
31935,85.8141,WASP-131,6030.0,1,[Fe/H],G0,1.06,4.09,1
31937,130.3103,WASP-132,4775.0,1,[Fe/H],K4,0.8,4.61,1
31940,368.6828,WASP-133,5700.0,1,[Fe/H],G4,1.16,4.18,1
31942,603.877,WASP-135,5675.0,1,[Fe/H],G5 V,0.98,4.47,1
31961,854.9627,WASP-141,5900.0,1,[Fe/H],F9,1.25,4.26,1
31962,266.9772,WASP-142,6010.0,1,[Fe/H],F8,1.33,4.13,1
31968,92.48853,WASP-148,5460.0,1,[Fe/H],G,1.0,4.4,2
31970,127.132,WASP-148,5460.0,1,[Fe/H],G,1.0,4.4,2
31975,175.12433,WASP-15,6300.0,1,[Fe/H],F7,1.18,4.35,1
31979,2688.8418,WASP-150,6218.0,1,[Fe/H],F8,1.39,4.15,1
31981,98.5273,WASP-151,5871.0,1,[Fe/H],G1,1.08,4.35,1
31984,123.9537,WASP-153,5914.0,1,[Fe/H],G0,1.34,4.1,1
31986,40.68224,WASP-156,4910.0,1,[Fe/H],K3,0.84,4.6,1
31991,182.43442,WASP-157,5838.0,1,[Fe/H],G2 V,1.26,4.5,1
32016,32.10083,WASP-166,6050.0,1,[Fe/H],F9 V,1.19,4.34,1
32018,2542.64,WASP-167,7000.0,1,[Fe/H],F1 V,1.59,4.13,1
32022,178.30263,WASP-169,6110.0,1,[Fe/H],F8,1.34,3.96,1
32024,143.97699,WASP-17,6650.0,1,[Fe/H],F4,1.2,4.45,1
32036,344.52772,WASP-171,5965.0,1,[Fe/H],G0,1.17,4.08,1
32041,413.179,WASP-174,6400.0,1,[Fe/H],F6 V,1.3,4.32,1
32042,314.6517,WASP-175,6229.0,1,[Fe/H],F7,1.21,4.36,1
32043,271.74465,WASP-176,5941.0,1,[Fe/H],F9,1.34,4.0,1
32044,161.45764,WASP-177,5017.0,1,[Fe/H],K2,0.88,4.49,1
32046,527.5978,WASP-178,9360.0,1,[Fe/H],A1 IV-V,2.07,4.31,1
32064,95.03117,WASP-181,5839.0,1,[Fe/H],G2,1.04,4.49,1
32065,47.03884,WASP-182,5638.0,1,[Fe/H],G5,1.08,4.22,1
32067,159.55066,WASP-183,5313.0,1,[Fe/H],G9,0.78,4.45,1
32068,181.1631,WASP-184,6000.0,1,[Fe/H],G0 V,1.23,4.09,1
32069,311.4734,WASP-185,5900.0,1,[Fe/H],G0 V,1.12,4.13,1
32070,1341.2426,WASP-186,6361.0,1,[Fe/H],F,1.22,4.19,1
32073,254.264,WASP-187,6150.0,1,[Fe/H],F,1.54,3.72,1
32087,317.83,WASP-190,6400.0,1,[Fe/H],F6 IV-V,1.35,4.17,1
32089,731.009,WASP-192,5910.0,1,[Fe/H],G0 V,1.09,4.24,1
32117,177.9848,WASP-22,6000.0,1,[Fe/H],G1 V,1.1,4.37,1
32145,285.717,WASP-28,6084.0,1,[Fe/H],F8,1.01,4.34,1
32146,288.26,WASP-28,6150.0,1,[Fe/H],F8,1.02,4.37,1
32223,397.2875,WASP-4,5500.0,1,[Fe/H],G8,0.93,4.5,1
32256,276.5121,WASP-44,5420.0,1,[Fe/H],G8 V,0.94,4.49,1
32268,607.0553,WASP-46,5600.0,1,[Fe/H],G6 V,0.83,4.49,1
32319,502.15,WASP-5,5880.0,1,[M/H],G4 V,0.97,4.4,1
32322,494.22565,WASP-5,5700.0,1,[Fe/H],G5,1.0,4.5,1
32333,146.2,WASP-52,5000.0,1,[Fe/H],K2 V,0.87,4.58,1
32361,213.573,WASP-57,5600.0,1,[Fe/H],G6,0.95,4.57,1
32368,274.276,WASP-59,4650.0,1,[Fe/H],K5 V,0.72,4.72,1
32378,163.358,WASP-60,5900.0,1,[Fe/H],G1 V,1.08,4.35,1
32402,492.62,WASP-65,5600.0,1,[Fe/H],G6,0.93,4.4,1
32421,82.632,WASP-69,4715.0,1,[Fe/H],K5,0.83,4.54,1
32438,712.545,WASP-71,6059.0,1,[Fe/H],F8,1.56,3.92,1
32443,491.3763,WASP-72,6250.0,1,[Fe/H],F7,1.39,3.99,1
32446,597.5,WASP-73,6036.0,1,[Fe/H],F9,1.34,3.93,1
32449,301.9385,WASP-74,5970.0,1,[Fe/H],F9,1.48,4.18,1
32493,176.07,WASP-80,4145.0,1,[Fe/H],K7 V,0.57,4.69,1
32499,394.1092,WASP-82,6490.0,1,[Fe/H],F5,1.63,3.97,1
32504,95.349,WASP-83,5510.0,1,[Fe/H],G8,1.11,4.44,1
32508,220.565,WASP-84,5314.0,1,[Fe/H],K0,0.84,4.4,1
32519,177.98,WASP-88,6431.0,1,[Fe/H],F6,1.45,3.96,1
32521,1875.197,WASP-89,5130.0,1,[Fe/H],K3,0.92,4.51,1
32525,200.2329,WASP-90,6430.0,1,[Fe/H],F6,1.55,4.03,1
32527,425.8922,WASP-91,4920.0,1,[Fe/H],K3,0.84,4.3,1
32528,255.85315,WASP-92,6280.0,1,[Fe/H],F7,1.19,4.26,1
32532,467.2101,WASP-93,6700.0,1,[Fe/H],F4,1.33,4.2,1
32543,359.13,WASP-95,5630.0,1,[Fe/H],G2,1.11,4.38,1
32547,152.55,WASP-96,5540.0,1,[Fe/H],G8,1.06,4.42,1
32553,419.52,WASP-97,5640.0,1,[Fe/H],G5,1.12,4.43,1
32561,883.53,WASP-99,6180.0,1,[Fe/H],F8,1.48,4.12,1
32567,1274.44,WTS-1,6250.0,1,[Fe/H],F6 V,1.2,4.4,1
32569,355.9696,WTS-2,5000.0,1,[Fe/H],K2 V,0.82,4.6,1
32583,286.047,XO-1,5750.0,1,[Fe/H],G1 V,1.0,4.43,1
32611,4211.22639,XO-3,6429.0,1,[Fe/H],F5V,1.41,3.95,1
32630,365.5045,XO-5,5510.0,1,[Fe/H],G8 V,1.0,4.52,1
32634,1398.452,XO-6,6720.0,1,[Fe/H],F5,1.47,4.04,1
32636,225.34147,XO-7,6250.0,1,[Fe/H],G0 V,1.41,4.25,1
32641,0.7,YZ Cet,3151.0,1,[Fe/H],M4.5 V,0.14,5.17,3
32642,1.14,YZ Cet,3151.0,1,[Fe/H],M4.5 V,0.14,5.17,3
32646,1.09,YZ Cet,3151.0,1,[Fe/H],M4.5 V,0.14,5.17,3
32661,1938.7,bet UMi,4126.0,1,[Fe/H],K4 III,1.4,1.5,1
32662,2129.461,eps CrB,4406.0,1,[Fe/H],K2 III,1.7,1.94,1
32675,324.1866,gam Lib,4822.0,1,[Fe/H],K0 III,1.47,2.47,2
32676,1455.6614,gam Lib,4822.0,1,[Fe/H],K0 III,1.47,2.47,2
32677,425.89007,gam Psc,4742.0,1,[Fe/H],G7 III,0.99,2.33,1
32678,3756.73177,iot Dra,4504.0,1,[Fe/H],K2 III,1.54,2.48,2
32681,4958.12315,iot Dra,4504.0,1,[Fe/H],K2 III,1.54,2.48,2
32682,4068.1,kap And,10700.0,1,[Fe/H],B9 IV,2.45,3.87,1
32683,4327.36,kap And,10900.0,1,[M/H],B9 IV,2.6,3.78,1
32693,762.8,mu Leo,4538.2,1,[Fe/H],K2 III,1.5,2.4,1
32695,7057.73298,nu Oph,4886.0,1,[Fe/H],K0 III,2.7,2.56,2
32697,7838.32346,nu Oph,4886.0,1,[Fe/H],K0 III,2.7,2.56,2
32703,4.82,HD 39091,6037.0,1,[Fe/H],G0 V,1.09,4.42,3
32711,25.0,rho CrB,5627.0,1,[Fe/H],G0 V,0.89,4.12,2
32721,6547.0,tau Gem,4388.0,1,[Fe/H],K2 III,2.3,1.96,1
32742,162.09249,ups Leo,4836.0,1,[Fe/H],G9 III,1.48,2.46,1
