hostname,default_flag,sy_snum,sy_pnum,disc_year,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,ra,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,0,1,1.1,2009,0.1,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,1.510000,0.060000,-0.050000,0.2,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,3432.40000,381.40000,-413.20000,0.3,10.80000,1.20000,-1.30000,0.4,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,0.5,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,1.70,0.40,-0.30,0.6,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,229.2745954,71.8239428,125.3210000,1.9765000,-1.9765000,5.0130000,0.0050000,-0.0050000,1.9390000,0.2700000,-0.2700000,4.5621600,0.0039035,-0.0039035
TOI-500,1.0,1.0,4.0,2022.0,0.0,0.548177,1.9e-05,-1.9e-05,0.0,0.01189,0.00041,-0.0004,0.0,1.166,0.061,-0.058,0.0,0.104,0.005,-0.005,0.0,1.42,0.18,-0.18,0.0,0.00447,0.00057,-0.00057,0.0,0.063,0.073,-0.044,0.0,1138.0,123.0,-112.0,0.0,1617.0,41.0,-41.0,0.0,0.0,4440.0,100.0,-100.0,0.0,0.68,0.02,-0.02,0.0,0.74,0.02,-0.02,0.0,0.12,0.08,-0.08,0.0,4.62,0.02,-0.02,0.0,106.559098,-47.5878156,47.3924,0.0473,-0.0473,10.54,0.03,-0.03,7.715,0.026,-0.026,10.1026,0.000308,-0.000308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOI-519,1.0,1.0,1.0,2021.0,0.0,1.2652328,5e-07,-5e-07,0.0,0.012,0.004,-0.004,0.0,11.994,1.457,-4.596,0.0,1.07,0.13,-0.41,0.0,4449.62,0.0,0.0,1.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,760.0,54.0,-54.0,0.0,0.0,3350.0,100.0,-200.0,0.0,0.37,0.02,-0.09,0.0,0.37,0.03,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.6067582,-19.6627918,115.557,0.937,-0.922,17.35,0.2,-0.2,11.951,0.024,-0.024,15.7067,0.000437,-0.000437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOI-530,1.0,1.0,1.0,2021.0,0.0,6.387597,1.9e-05,-1.8e-05,0.0,0.052,0.005,-0.004,0.0,9.303,0.673,-0.673,0.0,0.83,0.06,-0.06,0.0,127.13136,28.60456,-31.78284,0.0,0.4,0.09,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565.0,28.0,-31.0,0.0,0.0,3659.0,120.0,-120.0,0.0,0.54,0.03,-0.03,0.0,0.53,0.02,-0.02,0.0,0.376,0.095,-0.095,0.0,4.7,0.03,-0.03,0.0,103.4128333,12.8815784,148.762,1.109,-1.093,15.403,0.136,-0.136,11.238,0.02,-0.02,14.6439,0.000567,-0.000567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOI-532,1.0,1.0,1.0,2021.0,0.0,2.3266508,3e-06,-3e-06,0.0,0.0296,0.00035,-0.00035,0.0,5.82,0.19,-0.19,0.0,0.519,0.017,-0.017,0.0,61.5,9.7,-9.3,0.0,0.1935,0.03052,-0.02926,0.0,0.0,0.0,0.0,0.0,94.1,8.0,-8.0,0.0,867.0,18.0,-18.0,0.0,0.0,3927.0,37.0,-37.0,0.0,0.61,0.01,-0.01,0.0,0.64,0.02,-0.02,0.0,0.338,0.072,-0.066,0.0,4.67,0.02,-0.02,0.0,85.0800537,11.5626373,135.047,0.548,-0.548,14.413,0.006,-0.006,10.587,0.025,-0.025,13.6645,0.000485,-0.000485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOI-540,1.0,1.0,1.0,2020.0,0.0,1.2391491,1.7e-06,-1.7e-06,0.0,0.01223,0.00036,-0.00036,0.0,0.903,0.052,-0.052,0.0,0.081,0.005,-0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4,2.1,-2.1,0.0,611.0,23.0,-23.0,0.0,0.0,3216.0,83.0,-83.0,0.0,0.19,0.01,-0.01,0.0,0.16,0.01,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.3096949,-47.9375391,14.0022,0.0088,-0.0089,14.823,0.149,-0.149,8.9,0.021,-0.021,12.8938,0.000481,-0.000481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOI-544,1.0,1.0,1.0,2022.0,0.0,1.548351,1.5e-06,-1.5e-06,0.0,0.0251,0.0019,-0.0019,0.0,2.03,0.1,-0.1,0.0,0.181,0.009,-0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1082.0,47.0,-47.0,0.0,0.0,4369.0,100.0,-100.0,0.0,0.66,0.02,-0.02,0.0,0.85,0.2,-0.2,0.0,0.0,0.0,0.0,0.0,4.73,0.1,-0.1,0.0,82.2900716,-0.3428983,41.1166,0.0736,-0.0732,10.777,0.017,-0.017,7.8,0.02,-0.02,10.4143,0.00059,-0.00059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOI-558,1.0,1.0,1.0,2021.0,0.0,14.574071,2.6e-05,-2.6e-05,0.0,0.1291,0.002,-0.0021,0.0,12.173,0.46,-0.426,0.0,1.086,0.041,-0.038,0.0,1147.36055,47.67426,-47.67426,0.0,3.61,0.15,-0.15,0.0,0.298,0.022,-0.02,0.0,0.0,0.0,0.0,0.0,1061.0,13.0,-12.0,0.0,0.0,6466.0,95.0,-93.0,0.0,1.5,0.04,-0.04,0.0,1.35,0.06,-0.07,0.0,-0.004,0.059,-0.055,0.0,4.22,0.03,-0.03,0.0,42.2915093,-58.0246828,402.63,3.855,-3.784,11.233,0.013,-0.013,10.262,0.023,-0.023,11.3253,0.000593,-0.000593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOI-559,1.0,1.0,1.0,2021.0,0.0,6.9839095,5.1e-06,-5.1e-06,0.0,0.0723,0.0013,-0.0013,0.0,12.229,0.314,-0.28,0.0,1.091,0.028,-0.025,0.0,1910.14873,76.27882,-73.10053,0.0,6.01,0.24,-0.23,0.0,0.151,0.012,-0.011,0.0,0.0,0.0,0.0,0.0,1180.0,18.0,-16.0,0.0,0.0,5925.0,85.0,-76.0,0.0,1.23,0.03,-0.03,0.0,1.03,0.06,-0.06,0.0,-0.069,0.065,-0.079,0.0,4.27,0.02,-0.03,0.0,46.8186159,-31.1629951,233.266,1.542,-1.521,11.091,0.007,-0.007,9.638,0.024,-0.024,10.9777,0.000405,-0.000405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOI-561,5.0,5.0,25.0,10100.0,3.0,130.362578,0.439017,-0.439017,0.0,0.70034,0.006279999999999999,-0.00618,0.0,11.821,0.562,-0.562,0.0,1.055,0.051000000000000004,-0.051000000000000004,0.0,37.94,7.32,-6.82,0.0,0.11937,0.02303,-0.02146,0.0,0.172,0.182,-0.12,0.0,0.0,0.0,0.0,0.0,750.0,60.0,-60.0,0.0,0.0,27146.0,324.0,-252.0,0.0,4.2299999999999995,0.06,-0.06,0.0,3.97,0.11,-0.11,0.0,-1.73,0.45,-0.25,0.0,22.38,0.07,-0.07,0.0,740.9257580000001,31.080515000000002,428.995,2.494,-2.466,51.260000000000005,0.03,-0.03,41.97,0.095,-0.095,50.064,0.00139,-0.00139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOI-564,1.0,1.0,1.0,2020.0,0.0,1.651144,1.8e-05,-1.8e-05,0.0,0.02734,0.00061,-0.00053,0.0,11.433,7.958,-3.251,0.0,1.02,0.71,-0.29,0.0,464.98529,31.783,-30.51168,0.0,1.463,0.1,-0.096,0.0,0.072,0.083,-0.05,0.0,1423.0,73.0,-81.0,0.0,1714.0,20.0,-21.0,0.0,0.0,5640.0,34.0,-37.0,0.0,1.09,0.01,-0.01,0.0,1.0,0.07,-0.06,0.0,0.143,0.076,-0.078,0.0,4.36,0.03,-0.03,0.0,130.2951535,-16.0363275,199.581,1.27,-1.253,11.097,0.014,-0.014,9.604,0.022,-0.022,11.1424,0.000599,-0.000599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOI-620,1.0,1.0,1.0,2022.0,0.0,5.0988179,4.5e-06,-4.6e-06,0.0,0.04825,0.00065,-0.00066,0.0,3.76,0.15,-0.15,0.0,0.335,0.013,-0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.28,-0.12,0.0,20.8,1.3,-3.5,0.0,604.0,6.0,-5.0,0.0,0.0,3708.0,57.0,-56.0,0.0,0.55,0.02,-0.02,0.0,0.58,0.02,-0.02,0.0,0.35,0.11,-0.12,0.0,4.72,0.02,-0.03,0.0,142.1734459,-12.1671652,33.0231,0.0586,-0.0583,12.262,0.024,-0.024,7.954,0.027,-0.027,11.3104,0.00129,-0.00129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOI-628,1.0,1.0,1.0,2021.0,0.0,3.4095675,7e-06,-6.9e-06,0.0,0.0486,0.0008,-0.00094,0.0,11.882,0.46,-0.381,0.0,1.06,0.041,-0.034,0.0,2011.8639,92.1707,-98.5273,0.0,6.33,0.29,-0.31,0.0,0.072,0.021,-0.023,0.0,0.0,0.0,0.0,0.0,1586.0,52.0,-40.0,0.0,0.0,6250.0,220.0,-190.0,0.0,1.34,0.05,-0.04,0.0,1.31,0.07,-0.07,0.0,0.258,0.078,-0.08,0.0,4.3,0.03,-0.04,0.0,99.2630608,1.7675497,178.68,3.04,-2.942,10.112,0.006,-0.006,8.811,0.019,-0.019,10.0579,0.000494,-0.000494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOI-640,1.0,1.0,1.0,2021.0,0.0,5.0037775,4.8e-06,-4.8e-06,0.0,0.06608,0.00098,-0.0011,0.0,19.851,0.673,-0.628,0.0,1.771,0.06,-0.056,0.0,279.6904,50.8528,-50.8528,0.0,0.88,0.16,-0.16,0.0,0.05,0.054,-0.035,0.0,0.0,0.0,0.0,0.0,1749.0,26.0,-30.0,0.0,0.0,6460.0,130.0,-150.0,0.0,2.08,0.06,-0.06,0.0,1.54,0.07,-0.08,0.0,0.072,0.085,-0.076,0.0,3.99,0.03,-0.04,0.0,99.7345935,-36.64613,341.997,2.839,-2.794,10.51,0.006,-0.006,9.243,0.023,-0.023,10.4006,0.000289,-0.000289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOI-674,1.0,1.0,1.0,2021.0,0.0,1.977143,3e-06,-3e-06,0.0,0.025,0.0008,-0.0008,0.0,5.25,0.17,-0.17,0.0,0.468,0.015,-0.015,0.0,23.6,3.3,-3.3,0.0,0.07425,0.01038,-0.01038,0.0,0.0,0.0,0.0,0.0,38.4,0.1,-0.1,0.0,635.0,15.0,-15.0,0.0,0.0,3514.0,57.0,-57.0,0.0,0.42,0.01,-0.01,0.0,0.42,0.01,-0.01,0.0,0.17,0.12,-0.12,0.0,4.81,0.03,-0.03,0.0,164.5865592,-36.8581092,46.0851,0.1159,-0.1153,14.203,0.041,-0.041,9.469,0.019,-0.019,13.0914,0.000426,-0.000426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOI-677,1.0,1.0,1.0,2020.0,0.0,11.2366,0.00011,-0.00011,0.0,0.1038,0.0017,-0.0017,0.0,13.115,0.336,-0.336,0.0,1.17,0.03,-0.03,0.0,392.83788,21.93027,-21.29461,0.0,1.236,0.069,-0.067,0.0,0.435,0.024,-0.024,0.0,0.0,0.0,0.0,0.0,1252.0,21.0,-21.0,0.0,0.0,6295.0,77.0,-77.0,0.0,1.28,0.03,-0.03,0.0,1.18,0.06,-0.06,0.0,0.0,0.05,-0.05,0.0,4.29,0.03,-0.03,0.0,144.1193594,-50.4630933,141.812,0.622,-0.617,9.822,0.004,-0.004,8.429,0.023,-0.023,9.66082,0.000212,-0.000212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOI-700,3.0,3.0,9.0,6060.0,0.0,63.45288000000001,0.000662,-0.000743,0.0,0.32389999999999997,0.0052,-0.0053,0.0,4.8309999999999995,0.28700000000000003,-0.275,0.0,0.431,0.026000000000000002,-0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.31,-0.192,0.0,8.51,1.03,-0.96,0.0,1042.0,30.0,-30.0,0.0,0.0,10383.0,198.0,-198.0,0.0,1.26,0.06,-0.06,0.0,1.23,0.06,-0.06,0.0,-0.21000000000000002,0.33,-0.33,0.0,14.399999999999999,0.12,-0.12,0.0,291.2871495,-196.73584470000003,93.37950000000001,0.0618,-0.0618,39.453,0.20700000000000002,-0.20700000000000002,25.902,0.069,-0.069,36.1995,0.001434,-0.001434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOI-763,2.0,2.0,4.0,4040.0,0.0,17.8794,0.0066,-0.009000000000000001,0.0,0.1611,0.0015999999999999999,-0.0015999999999999999,0.0,4.91,0.22999999999999998,-0.22999999999999998,0.0,0.438,0.020999999999999998,-0.020999999999999998,0.0,19.11,1.8,-1.8,0.0,0.06012,0.00566,-0.00566,0.0,0.08,0.08,-0.06,0.0,0.0,0.0,0.0,0.0,1838.0,28.0,-28.0,0.0,0.0,10900.0,120.0,-120.0,0.0,1.8,0.02,-0.02,0.0,1.84,0.06,-0.06,0.0,0.02,0.1,-0.1,0.0,8.9,0.1,-0.1,0.0,388.936196,-79.5161226,190.2548,0.9072,-0.899,20.53,0.046,-0.046,16.98,0.042,-0.042,19.9983,0.000474,-0.000474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOI-776,2.0,2.0,4.0,4040.0,0.0,23.91191,0.00045000000000000004,-0.00033999999999999997,0.0,0.1652,0.0039,-0.0039,0.0,3.87,0.27,-0.27,0.0,0.345,0.024,-0.024,0.0,9.3,2.7,-2.7,0.0,0.02927,0.008490000000000001,-0.008490000000000001,0.0,0.1,0.05,-0.03,0.0,16.4,0.8,-0.8,0.0,929.0,31.0,-31.0,0.0,0.0,7418.0,140.0,-140.0,0.0,1.08,0.04,-0.04,0.0,1.08,0.06,-0.06,0.0,-0.4,0.24,-0.24,0.0,9.46,0.06,-0.06,0.0,357.155994,-75.1067136,54.3402,0.0641,-0.0641,23.072,0.082,-0.082,15.23,0.04,-0.04,21.4818,0.000956,-0.000956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOI-813,1.0,1.0,1.0,2020.0,0.0,83.8911,0.0027,-0.0031,0.0,0.423,0.031,-0.037,0.0,6.71,0.38,-0.38,0.0,0.599,0.034,-0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1,4.6,-3.1,0.0,610.0,28.0,-21.0,0.0,0.0,5907.0,150.0,-150.0,0.0,1.94,0.1,-0.1,0.0,1.32,0.06,-0.06,0.0,0.1,0.1,-0.1,0.0,3.86,0.14,-0.14,0.0,72.6940102,-60.9054608,263.145,1.578,-1.56,10.358,0.006,-0.006,9.029,0.019,-0.019,10.2352,0.000417,-0.000417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
